1	5	10	335	1390
6	5	0	305	550
5	1	10	155	560
4	2	0	138	950
2	4	10	143	325
4	5	10	225	900
7	2	0	347	725
3	6	0	341	2750
3	4	10	239	1678
8	3	10	180	2250
9	3	10	352	625
6	4	0	628	2750
3	5	10	146	1350
4	5	10	327	1800
5	5	10	322	980
5	5	10	446	1053
3	4	10	207	1688
2	3	10	526	875
5	4	10	334	1250
3	5	10	332	500
4	3	10	167	825
2	5	10	466	125
3	5	10	495	1550
5	6	10	318	1760
4	5	10	322	1000
3	4	0	1135	2750
4	3	10	291	1570
3	5	10	366	150
6	5	10	418	1350
10	3	0	1015	1087
3	2	10	415	3750
2	7	10	311	1335
3	3	10	159	700
1	2	10	940	6250
3	3	10	272	740
1	5	10	326	4605
9	2	10	170	520
3	5	10	385	1460
3	5	10	253	1250
4	3	10	377	950
5	4	10	753	1554
4	5	0	885	829
9	5	10	296	225
5	4	10	192	695
7	1	10	374	495
4	5	10	518	4750
2	5	10	270	300
1	5	10	361	891
2	3	0	125	1250
4	5	10	313	3100
5	3	10	568	2500
5	3	0	846	926
5	5	10	472	1994
2	5	0	1397	2149
4	3	10	101	3175
3	5	10	794	2750
3	3	10	124	1855
5	3	10	225	1100
1	5	10	187	1250
4	5	10	866	63
6	3	10	228	900
1	5	10	430	3000
5	5	10	192	2770
6	3	0	305	1000
5	3	10	493	1450
7	3	10	321	1000
5	5	0	250	475
1	3	0	813	33
5	3	10	1171	1726
7	5	10	439	1500
3	5	10	111	1200
3	3	10	237	4250
3	5	10	342	925
7	5	0	150	1215
3	5	10	188	1250
2	1	0	203	505
3	5	10	1108	2000
1	5	0	8378	3750
5	5	10	386	1853
6	6	0	204	2750
4	1	10	613	150
5	5	0	372	1000
3	5	10	415	845
1	6	10	328	1157
1	3	10	279	33
6	4	10	365	1500
8	2	10	1432	1750
4	3	10	167	1250
3	5	10	641	955
4	3	10	162	2500
5	1	10	497	3530
3	5	10	947	1050
8	5	10	200	20
5	4	10	313	1626
2	5	10	693	66917
1	5	10	97	1085
4	5	10	416	1850
6	3	10	637	63
3	3	10	530	4000
4	6	10	362	1987
4	3	10	575	690
3	7	0	306	896
3	5	0	679	1584
5	3	10	244	1000
5	5	10	432	1650
4	3	0	292	759
3	6	0	2389	1092
1	3	0	276	29161
3	3	10	489	860
5	5	10	555	2750
4	3	0	348	1750
6	5	10	603	1750
5	3	10	170	2825
3	4	0	208	625
3	3	0	43	725
1	4	10	363	1220
3	5	10	627	500
1	3	10	367	1100
5	5	10	393	1750
3	5	0	1140	725
3	4	10	62	1861
3	5	0	533	1070
1	1	10	240	502
1	5	10	1791	6000
5	4	0	264	1833
